C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 5.67                 1.11                1.03	10.00                 0.56                1.00	11.00                 0.60                0.72	TcIL3000.A.H_001004000.1  radial spoke protein RSP11, putative
 9.33                 1.24                0.75	 8.00                 1.88                0.93	 8.00                 1.24                2.10	TcIL3000.A.H_001004100.1  hypothetical protein, conserved
 4.67                 1.36                1.00	 3.67                 1.33                1.00	 6.00                 1.29                2.40	TcIL3000.A.H_001004200.1  hypothetical protein, conserved
21.33                 0.93                0.82	 8.00                 1.00                1.38	10.67                 1.52                1.00	TcIL3000.A.H_001004300.1  ornithine decarboxylase
 4.00                 1.42                0.58	 4.33                 0.68                0.90	 5.67                 0.71                1.28	TcIL3000.A.H_001004400.1  Adenylate and Guanylate cyclase catalytic domain containing protein, putative
 6.00                 0.52                1.16	 8.67                 0.80                1.42	 7.33                 0.59                1.28	TcIL3000.A.H_001004500.1  Ras-related protein Rab4
 6.00                 0.93                1.26	 4.00                 0.66                0.68	 6.67                 1.25                0.86	TcIL3000.A.H_001004600.1  hypothetical protein, conserved
34.00                 1.05                0.84	32.00                 1.11                1.07	36.67                 0.73                1.53	TcIL3000.A.H_001004700.1  LEM3 (ligand-effect modulator 3) family / CDC50 family, putative
26.00                 1.27                1.25	29.33                 1.15                1.01	21.67                 0.84                1.62	TcIL3000.A.H_001004800.1  profilin  
 5.67                 4.39                0.50	 3.33                 0.28                1.24	 2.33                 0.29                2.15	TcIL3000.A.H_001004900.1  hypothetical protein, conserved
 7.00                 0.88                0.54	 2.67                 2.08                4.67	 6.00                 1.00                1.44	TcIL3000.A.H_001005000.1  Domain of unknown function (DUF1903), putative
 7.00                 1.33                0.30	 8.67                 0.93                0.84	 9.00                 0.85                1.13	TcIL3000.A.H_001005100.1  ATP-dependent DEAD/H RNA helicase, putative
 4.00                 2.00                1.10	12.00                 1.05                1.00	 8.00                 1.86                1.12	TcIL3000.A.H_001005200.1  hypothetical protein, conserved
 5.67                 1.17                1.44	 4.33                 0.96                1.15	 8.67                 1.60                1.83	TcIL3000.A.H_001005300.1  DnaJ domain containing protein, putative
 7.33                 0.75                0.96	15.33                 1.07                1.06	 9.00                 0.81                2.48	TcIL3000.A.H_001005400.1  hypothetical protein, conserved
 8.33                 0.77                1.03	 8.00                 1.21                0.63	 9.33                 1.83                1.32	TcIL3000.A.H_001005500.1  WD domain, G-beta repeat, putative
 8.00                 1.35                0.92	13.33                 1.62                2.67	12.67                 3.10                2.05	TcIL3000.A.H_001005600.1  hypothetical protein, conserved
 6.33                 1.42                0.73	 6.67                 0.32                0.85	 4.00                 1.14                1.50	TcIL3000.A.H_001005700.1  uncharacterized protein, PH0010 family/AmmeMemoRadiSam system protein A, putative
 1.33                 0.57                0.86	 3.33                 1.00                2.33	 5.33                 0.59                3.40	TcIL3000.A.H_001005800.1  kinetoplastid-specific protein tyrosine phosphatase, putative
 5.00                 1.39                0.56	 6.00                 1.24                1.39	 9.33                 0.81                1.41	TcIL3000.A.H_001005900.1  AKAP7 2prime5prime RNA ligase-like domain containing protein, putative
 5.33                 0.96                1.45	 6.33                 0.66                1.76	 8.67                 0.91                1.95	TcIL3000.A.H_001006000.1  centrin, putative
11.00                 0.71                0.58	 5.67                 1.35                1.07	 8.33                 1.07                1.72	TcIL3000.A.H_001006100.1  hypothetical protein, conserved
19.67                 0.92                0.95	35.33                 1.16                1.35	26.33                 1.20                1.68	TcIL3000.A.H_001006200.1  kinesin-II 85 Kd subunit, putative
15.00                 0.76                1.00	 5.33                 1.03                1.87	13.00                 0.58                1.26	TcIL3000.A.H_001006300.1  U3 small nucleolar ribonucleoprotein protein IMP3, putative
 4.67                 1.72                1.00	 4.33                 0.58                1.00	 0.67                 0.59                1.00	TcIL3000.A.H_001006400.1  ubiquitin-conjugating enzyme E2, putative
 8.33                 1.04                0.87	 7.00                 0.47                1.00	 8.33                 1.08                1.20	TcIL3000.A.H_001006500.1  Mut7-C RNAse domain containing protein, putative
 3.00                 0.76                0.47	 7.33                 0.86                0.85	 4.67                 0.29                2.30	TcIL3000.A.H_001006600.1  U6 snRNA-associated Sm-like protein LSm4p
15.00                 0.84                1.17	16.33                 1.21                1.64	20.33                 0.91                1.32	TcIL3000.A.H_001006700.1  Pab1p-dependent poly(A) ribonuclease subunit, putative
 6.33                 0.70                1.15	11.33                 1.00                1.00	15.33                 1.29                1.33	TcIL3000.A.H_001006800.1  Leucine-rich repeat-containing protein ODA7
11.33                 1.12                0.51	10.00                 0.87                1.11	12.00                 0.73                1.00	TcIL3000.A.H_001006900.1  GDP-L-fucose synthetase, putative
118.33                 0.99                1.21	121.67                 1.23                1.30	133.67                 1.03                1.33	TcIL3000.A.H_001007000.1  NRBD1     
11.33                 1.26                0.96	19.67                 1.12                1.12	15.33                 1.21                1.14	TcIL3000.A.H_001007100.1  hypothetical protein, conserved
86.67                 0.93                1.02	70.00                 0.84                1.21	99.67                 0.78                1.74	TcIL3000.A.H_001007200.1  NRBD1     
 5.67                 1.09                2.00	 7.33                 0.71                1.35	 5.67                 0.69                1.21	TcIL3000.A.H_001007300.1  cyclin 9  
16.33                 0.91                0.70	15.33                 1.18                1.18	15.00                 0.68                1.40	TcIL3000.A.H_001007400.1  RIC1, putative
 0.67                 2.10                0.79	 1.00                 1.22                1.00	 0.33                 1.72                1.00	TcIL3000.A.H_001007500.1  hypothetical protein, conserved
 6.67                 1.06                1.32	10.00                 0.86                1.00	 8.00                 0.68                1.69	TcIL3000.A.H_001007600.1  hypothetical protein, conserved
 8.00                 1.42                1.17	11.00                 1.26                0.96	 8.00                 1.16                2.58	TcIL3000.A.H_001007700.1  Repressor of differentiation kinase 1
35.67                 1.35                0.82	39.33                 1.07                1.01	30.00                 0.84                1.94	TcIL3000.A.H_001007800.1  RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), putative
44.00                 0.90                0.95	37.33                 0.68                1.21	38.67                 1.49                2.79	TcIL3000.A.H_001007900.1  DRBD4     
 9.33                 1.13                0.94	 8.67                 0.78                1.00	 8.33                 1.14                1.11	TcIL3000.A.H_001008000.1  TFIIH basal transcription factor subunit
13.33                 1.45                1.44	17.67                 0.98                0.79	19.00                 1.34                1.97	TcIL3000.A.H_001008100.1  phenylalanyl-tRNA synthetase alpha chain, putative
78.00                 0.86                0.97	66.67                 1.09                1.03	81.00                 0.83                1.73	TcIL3000.A.H_001008200.1  ribosomal protein L18, putative
18.33                 1.76                1.20	 6.67                 0.74                0.92	10.00                 1.46                2.13	TcIL3000.A.H_001008300.1  ethanolamine-phosphate cytidylyltransferase
 4.00                 1.89                1.59	 4.00                 0.76                0.53	 8.00                 2.29                1.62	TcIL3000.A.H_001008400.1  hypothetical protein, conserved
 3.33                 1.20                0.67	 4.67                 0.71                1.62	 4.67                 1.36                2.25	TcIL3000.A.H_001008500.1  Alpha/beta hydrolase family, putative
 1.33                 0.43                1.37	 1.00                 1.18                2.00	 1.33                 2.00                1.37	TcIL3000.A.H_001008600.1  hypothetical protein, conserved
 7.67                 1.31                0.81	 6.67                 1.73                0.85	10.33                 1.33                2.00	TcIL3000.A.H_001008700.1  hypothetical protein, conserved
14.00                 0.68                0.86	10.00                 0.96                1.06	12.00                 0.94                1.48	TcIL3000.A.H_001008800.1  CLASP N terminal, putative
21.67                 1.25                1.09	37.33                 1.34                1.46	25.33                 0.95                1.19	TcIL3000.A.H_001008900.1  Staphylococcal nuclease homologue/Tudor domain containing protein, putative
 2.00                 1.00                0.23	 0.00                 0.86                0.44	 0.67                 2.50                1.43	TcIL3000.A.H_001009000.1  hypothetical protein
 2.00                 1.40                0.94	 6.00                 0.96                2.08	 8.67                 1.30                0.95	TcIL3000.A.H_001009100.1  ubiquitin-conjugating enzyme E2, putative
26.67                 0.80                0.88	21.00                 0.82                1.03	26.33                 0.93                2.06	TcIL3000.A.H_001009200.1  conserved protein
 0.67                 1.00                1.00	 0.67                 1.67                1.00	 0.67                 1.00                0.60	TcIL3000.A.H_001009300.1  hypothetical protein, conserved
 2.33                 1.16                2.08	 4.33                 1.65                0.42	 4.67                 0.71                1.05	TcIL3000.A.H_001009400.1  Vps23 core domain containing protein, putative
 2.67                 1.40                2.06	 6.00                 0.47                0.57	 4.00                 1.20                1.53	TcIL3000.A.H_001009500.1  WD domain, G-beta repeat, putative
53.33                 1.08                0.95	52.67                 0.94                1.50	64.00                 0.97                1.61	TcIL3000.A.H_001009600.1  T-complex protein 1, epsilon subunit, putative
 9.67                 0.88                1.07	12.00                 1.30                1.14	 5.00                 1.07                3.49	TcIL3000.A.H_001009700.1  atypical dual specificity phosphatase, putative
12.67                 0.95                1.30	 7.00                 1.47                0.65	 8.00                 1.23                1.26	TcIL3000.A.H_001009800.1  protein kinase, putative
 4.33                 0.86                0.67	 2.00                 0.64                1.50	 5.67                 0.59                1.14	TcIL3000.A.H_001009900.1  septum formation protein MAF homologue, putative
 9.67                 1.58                0.79	 9.67                 0.93                0.92	10.33                 0.64                1.04	TcIL3000.A.H_001010000.1  vacuolar sorting protein, putative
20.00                 1.39                1.17	15.00                 0.88                1.33	20.00                 1.00                1.12	TcIL3000.A.H_001010100.1  dynein intermediate chain IC70, putative
 3.67                 0.85                0.96	 5.67                 2.08                0.75	 9.67                 1.06                0.90	TcIL3000.A.H_001010200.1  small nuclear ribonucleoprotein Sm-G
 8.33                 0.96                0.87	11.00                 0.76                0.94	16.00                 0.74                1.93	TcIL3000.A.H_001010300.1  hypothetical protein, conserved
10.67                 0.95                0.74	14.33                 0.54                1.00	14.67                 0.88                1.78	TcIL3000.A.H_001010400.1  HECT-domain (ubiquitin-transferase), putative
10.00                 1.17                2.25	 7.67                 1.04                0.74	14.33                 0.79                0.59	TcIL3000.A.H_001010500.1  exportin 1
 1.33                 0.88                0.88	 3.33                 0.62                0.54	 5.33                 1.00                1.32	TcIL3000.A.H_001010600.1  mitochondrial carrier protein
12.00                 0.77                1.03	14.67                 1.16                0.76	 4.67                 0.73                0.59	TcIL3000.A.H_001010700.1  mitochondrial carrier protein
 0.33                 1.36                1.00	 0.67                 2.67                0.87	 2.67                 0.55                0.92	TcIL3000.A.H_001010800.1  hypothetical protein
11.00                 0.85                0.94	 8.67                 0.92                0.79	11.00                 0.95                2.47	TcIL3000.A.H_001010900.1  hypothetical protein, conserved
 6.67                 0.37                0.84	 6.67                 1.28                1.16	 8.33                 0.41                0.95	TcIL3000.A.H_001011000.1  kinetoplast polyadenylation/uridylation factor 2
 2.67                 2.43                1.29	 2.00                 1.22                1.67	 2.00                 1.17                1.36	TcIL3000.A.H_001011100.1  hypothetical protein, conserved
 1.00                 0.67                1.36	 3.33                 1.00                1.20	 2.33                 1.37                5.33	TcIL3000.A.H_001011200.1  hypothetical protein, conserved
 2.00                 0.89                1.00	 1.33                 1.12                0.86	 1.33                 1.00                1.00	TcIL3000.A.H_001011300.1  Ankyrin repeats (3 copies), putative
 4.67                 0.47                1.27	 0.67                 0.54                1.25	 2.00                 1.15                1.50	TcIL3000.A.H_001011400.1  hypothetical protein, conserved
 6.33                 1.37                0.63	11.33                 0.59                0.72	 7.67                 1.27                1.52	TcIL3000.A.H_001011500.1  proteasome regulatory non-ATP-ase subunit
 8.67                 0.63                1.50	12.00                 0.79                1.42	12.00                 0.80                1.47	TcIL3000.A.H_001011600.1  PPR repeat family, putative
 9.33                 0.55                1.22	10.00                 1.30                0.57	10.00                 0.95                1.69	TcIL3000.A.H_001011700.1  hypothetical protein, conserved
 5.33                 1.11                1.85	 9.67                 0.67                1.27	 8.00                 1.32                1.42	TcIL3000.A.H_001011800.1  ADP-ribosylation factor GTPase activating protein 1, putative
 4.00                 1.62                1.72	 3.33                 1.86                1.39	 6.00                 0.64                2.39	TcIL3000.A.H_001011900.1  PTHB1 N-terminus/PTHB1 C-terminus, putative
 4.67                 3.67                0.58	 3.00                 3.00                1.27	 1.00                 1.33                0.79	TcIL3000.A.H_001012000.1  RNA polymerase subunit, putative
 3.67                 1.54                1.50	 1.33                 1.00                0.50	 4.00                 0.61                3.17	TcIL3000.A.H_001012100.1  hypothetical protein, conserved
 0.67                 1.08                3.62	 3.33                 0.82                0.43	 7.00                 0.76                1.25	TcIL3000.A.H_001012200.1  Protein kinase domain containing protein, putative
 9.00                 1.59                0.74	10.33                 0.58                2.00	 8.67                 0.88                1.69	TcIL3000.A.H_001012300.1  Polypeptide deformylase 1
 5.33                 0.74                0.72	 6.67                 0.68                1.06	 3.67                 2.00                1.47	TcIL3000.A.H_001012400.1  WLM domain containing protein, putative
25.00                 1.04                0.93	33.00                 0.94                0.88	37.33                 0.90                1.54	TcIL3000.A.H_001012500.1  hypothetical protein, conserved
 7.33                 1.04                1.94	 3.33                 0.64                1.21	 2.67                 1.47                1.91	TcIL3000.A.H_001012600.1  PPPDE putative peptidase domain containing protein, putative
21.67                 1.31                0.86	26.33                 0.58                0.93	24.67                 1.65                1.46	TcIL3000.A.H_001012700.1  cleavage and polyadenylation specificity factor-like protein, putative
 5.33                 1.53                0.78	 4.00                 1.20                1.00	 7.00                 1.82                2.00	TcIL3000.A.H_001012800.1  LicD family, putative
 9.67                 1.19                0.71	 4.67                 1.21                1.16	12.00                 0.80                0.97	TcIL3000.A.H_001012900.1  RNA guanylyltransferase
17.33                 0.78                0.47	18.00                 0.97                1.00	28.67                 0.58                1.04	TcIL3000.A.H_001013000.1  G5-interacting protein
 3.33                 0.86                0.95	 5.33                 1.00                1.69	 4.00                 0.90                2.21	TcIL3000.A.H_001013100.1  ATP-dependent DNA DEAD/DEAH box helicase, putative
14.00                 1.46                0.69	17.00                 0.55                1.31	10.00                 1.05                1.48	TcIL3000.A.H_001013200.1  hypothetical protein, conserved
11.67                 0.84                1.21	 8.00                 0.85                0.74	10.33                 0.67                1.72	TcIL3000.A.H_001013300.1  hypothetical protein, conserved
 6.33                 1.19                0.46	 2.33                 1.85                1.20	 1.33                 1.45                2.50	TcIL3000.A.H_001013400.1  hypothetical protein, conserved
 2.00                 0.47                1.00	 7.67                 1.04                1.18	 8.33                 0.55                0.90	TcIL3000.A.H_001013500.1  hypothetical protein, conserved
14.00                 0.75                0.85	17.33                 1.00                1.48	14.33                 1.06                2.29	TcIL3000.A.H_001013600.1  phosphatidylinositol 3-related kinase, putative
 6.33                 0.64                1.63	 3.67                 2.00                1.21	 6.33                 1.00                1.12	TcIL3000.A.H_001013700.1  Microtubule-binding protein MIP-T3, putative
11.33                 1.47                0.97	 9.00                 0.69                1.12	11.33                 0.56                2.00	TcIL3000.A.H_001013800.1  hypothetical protein, conserved
 8.67                 1.16                1.80	 6.00                 1.77                1.63	 9.33                 1.05                1.91	TcIL3000.A.H_001013900.1  rRNA processing, putative
11.00                 1.32                0.92	15.00                 0.64                1.50	 8.00                 1.03                1.22	TcIL3000.A.H_001014000.1  hypothetical protein, conserved
10.00                 1.03                1.53	14.67                 0.96                1.31	12.67                 1.13                1.23	TcIL3000.A.H_001014100.1  ATP-dependent zinc metallopeptidase, putative
 3.67                 0.69                0.80	10.33                 0.71                0.61	 1.67                 0.89                1.83	TcIL3000.A.H_001014200.1  YqaJ-like viral recombinase domain containing protein, putative
 3.67                 1.93                1.47	 7.33                 2.17                0.40	 4.33                 1.07                1.09	TcIL3000.A.H_001014300.1  PSP1 C-terminal conserved region, putative
 6.67                 2.00                0.49	 9.00                 1.38                0.86	 9.33                 1.06                1.46	TcIL3000.A.H_001014400.1  Clustered mitochondria/Translation initiation factor eIF3 subunit 135, putative
 6.33                 2.89                1.00	 5.67                 1.78                0.81	 6.00                 1.12                2.72	TcIL3000.A.H_001014500.1  hypothetical protein, conserved
10.67                 1.03                0.96	 5.33                 0.79                0.73	 7.00                 1.09                1.03	TcIL3000.A.H_001014600.1  phosphomannose isomerase, putative
 6.33                 1.04                0.84	 4.33                 0.76                0.55	 7.00                 3.00                1.64	TcIL3000.A.H_001014700.1  DNA repair and recombination helicase protein PIF4
 5.00                 1.94                0.89	10.67                 4.86                1.78	14.00                 0.49                2.77	TcIL3000.A.H_001014800.1  hypothetical protein, conserved
12.00                 1.00                0.94	 7.00                 1.58                0.69	 6.67                 0.91                1.52	TcIL3000.A.H_001014900.1  hypothetical protein, conserved
10.00                 1.11                0.72	 8.00                 1.30                0.95	 7.67                 2.20                0.94	TcIL3000.A.H_001015000.1  hypothetical protein, conserved
 4.67                 0.60                2.20	 4.00                 1.69                1.13	 5.67                 0.93                2.11	TcIL3000.A.H_001015100.1  hypothetical protein, conserved
36.33                 1.17                1.39	26.67                 0.96                0.93	34.33                 1.02                1.15	TcIL3000.A.H_001015200.1  chromosomal passenger protein
10.33                 1.08                1.55	 6.33                 1.05                1.86	 6.33                 0.61                1.82	TcIL3000.A.H_001015300.1  hypothetical protein, conserved
 4.00                 0.89                1.89	 5.67                 0.82                0.32	 4.33                 0.54                2.67	TcIL3000.A.H_001015400.1  hypothetical protein, conserved
 9.33                 1.06                1.42	 9.00                 1.32                1.48	 7.33                 1.33                1.82	TcIL3000.A.H_001015500.1  NAD+ synthase, putative
20.33                 1.09                0.89	19.33                 0.72                0.90	30.00                 0.72                0.95	TcIL3000.A.H_001015600.1  Paraflagellar Rod Proteome Component 9, putative
 4.33                 0.86                0.47	 3.67                 1.47                0.82	 1.67                 0.59                1.10	TcIL3000.A.H_001015700.1  hypothetical protein
 6.67                 0.67                1.92	 6.67                 0.60                1.54	 6.00                 0.41                2.80	TcIL3000.A.H_001015800.1  DNA polymerase alpha/epsilon subunit B, putative
13.33                 1.04                0.67	14.00                 1.02                1.73	 9.33                 0.70                1.23	TcIL3000.A.H_001015900.1  coatomer subunit epsilon
 3.33                 0.43                1.25	 1.67                 2.50                0.91	 1.00                 0.73                0.78	TcIL3000.A.H_001016000.1  protein phosphatase 2C, putative
 8.00                 1.43                0.63	 8.67                 1.11                0.82	 3.67                 0.77                1.31	TcIL3000.A.H_001016100.1  hypothetical protein, conserved
10.33                 1.90                0.93	 6.67                 0.88                0.68	 7.67                 1.03                2.69	TcIL3000.A.H_001016200.1  hypothetical protein, conserved
 6.00                 1.47                1.79	 6.00                 1.14                1.43	 9.00                 1.13                0.84	TcIL3000.A.H_001016300.1  hypothetical protein, conserved
23.33                 0.78                1.16	17.00                 1.19                0.97	26.33                 1.12                1.25	TcIL3000.A.H_001016400.1  zinc finger protein 2
 5.67                 0.90                1.05	 6.67                 0.62                1.14	 4.67                 0.54                1.32	TcIL3000.A.H_001016500.1  pumilio/PUF RNA binding protein 7, putative
 6.67                 0.23                0.97	 4.33                 0.94                0.71	 9.33                 0.61                1.62	TcIL3000.A.H_001016600.1  hypothetical protein, conserved
 9.00                 1.36                0.72	12.00                 0.62                1.29	 9.00                 1.33                1.38	TcIL3000.A.H_001016700.1  phosphatidylethanolamine-binding protein, putative
13.00                 0.63                0.92	 9.00                 1.32                0.79	11.33                 0.66                1.11	TcIL3000.A.H_001016800.1  hypothetical protein, conserved
 7.00                 1.44                1.50	 2.00                 1.60                0.71	 9.00                 0.74                1.00	TcIL3000.A.H_001016900.1  hypothetical protein, conserved
 4.67                 0.79                1.50	 4.33                 1.07                1.33	 6.00                 1.33                2.00	TcIL3000.A.H_001017000.1  survival of motor neuron (SMN)-like protein
 1.00                 1.00                0.86	 2.00                 1.25                0.61	 3.33                 0.90                1.46	TcIL3000.A.H_001017100.1  serine/threonine-protein kinase, putative
 9.33                 1.09                1.33	 5.67                 0.85                1.28	11.00                 0.88                2.85	TcIL3000.A.H_001017200.1  iron superoxide dismutase
 8.33                 0.74                1.68	 7.00                 0.65                1.82	 5.33                 0.49                1.09	TcIL3000.A.H_001017300.1  small GTPase
14.33                 1.15                1.56	11.67                 0.76                1.41	12.33                 1.35                1.76	TcIL3000.A.H_001017400.1  chaperonin HSP60, mitochondrial precursor
 3.33                 2.12                1.47	 6.67                 0.62                0.42	 4.67                 0.79                0.62	TcIL3000.A.H_001017500.1  Cation efflux family, putative
 6.33                 2.86                1.15	 2.67                 0.96                0.56	 4.33                 1.23                1.00	TcIL3000.A.H_001017600.1  Histone-like transcription factor (CBF/NF-Y) and archaeal histone, putative
12.67                 0.81                1.26	16.33                 1.55                0.37	16.00                 1.55                1.82	TcIL3000.A.H_001017700.1  hypothetical protein, conserved
 1.00                 3.79                1.13	 4.00                 1.30                2.00	 3.67                 0.48                2.33	TcIL3000.A.H_001017800.1  hypothetical protein, conserved
19.00                 1.00                0.95	22.67                 1.00                0.70	26.33                 1.83                0.92	TcIL3000.A.H_001017900.1  Tb5.20    
 6.00                 0.95                0.65	 2.00                 1.00                1.42	 5.33                 0.67                1.53	TcIL3000.A.H_001018000.1  Vitamin B6 photo-protection and homoeostasis, putative
 6.67                 1.04                1.60	12.00                 0.64                0.71	 9.67                 1.78                1.25	TcIL3000.A.H_001018100.1  hypothetical protein, conserved
10.00                 1.37                0.51	12.00                 0.71                1.19	 6.00                 1.67                0.88	TcIL3000.A.H_001018200.1  heat shock protein-like protein, putative
27.00                 1.09                0.85	20.67                 1.45                1.25	30.67                 1.25                1.30	TcIL3000.A.H_001018300.1  hypothetical protein, conserved
 9.67                 0.82                1.75	 9.33                 0.73                1.92	12.00                 1.18                2.13	TcIL3000.A.H_001018400.1  1-acyl-sn-glycerol-3-phosphate acyltransferase, putative
 2.00                 0.50                1.20	 1.33                 1.20                0.37	 2.00                 2.33                2.00	TcIL3000.A.H_001018500.1  hypothetical protein, conserved
 2.67                 1.36                0.96	11.33                 0.70                0.83	 6.00                 1.47                1.93	TcIL3000.A.H_001018600.1  ribosome biogenesis protein TSR3, putative
 8.67                 1.12                0.94	10.33                 1.68                0.95	13.00                 1.26                1.32	TcIL3000.A.H_001018700.1  Domain of unknown function (DUF4200), putative
12.00                 0.61                0.62	 7.33                 2.00                1.96	15.67                 0.83                2.13	TcIL3000.A.H_001018800.1  TLR4 regulator and MIR-interacting MSAP, putative
 7.00                 1.27                0.92	14.33                 1.27                1.55	 7.33                 1.00                3.15	TcIL3000.A.H_001018900.1  hypothetical protein, conserved
11.33                 1.25                1.24	18.00                 1.14                1.18	19.33                 1.18                1.12	TcIL3000.A.H_001019000.1  cytosolic coat protein, putative
 2.33                 1.23                0.46	 5.67                 1.40                1.63	 4.67                 1.04                1.41	TcIL3000.A.H_001019100.1  Ras-related protein RAB2B, putative
 3.00                 0.82                0.82	 4.33                 1.18                1.18	 6.00                 0.57                1.44	TcIL3000.A.H_001019200.1  hypothetical protein, conserved
 3.00                 0.62                0.60	 3.00                 0.52                1.10	 6.00                 0.65                2.56	TcIL3000.A.H_001019300.1  tRNA-sepcific adenosine deaminase
 5.33                 0.93                0.81	 4.67                 1.09                2.08	 8.67                 0.80                2.42	TcIL3000.A.H_001019400.1  eRF1 methyltransferase catalytic subunit, putative
 2.00                 2.00                1.45	 3.67                 1.44                1.00	 3.67                 0.47                0.75	TcIL3000.A.H_001019500.1  hypothetical protein, conserved
 6.00                 1.24                1.07	13.33                 1.24                1.17	 9.33                 1.34                1.19	TcIL3000.A.H_001019600.1  hypothetical protein, conserved
 4.00                 0.47                1.00	 1.33                 0.62                0.79	 3.33                 1.75                1.72	TcIL3000.A.H_001019700.1  hypothetical protein, conserved
 4.00                 1.07                1.06	10.00                 0.75                0.97	 4.33                 1.03                1.00	TcIL3000.A.H_001019800.1  phosphatidylinositol 3-kinase catalytic subunit, putative
 2.67                 2.78                0.48	 6.00                 0.85                1.99	 4.33                 0.62                3.67	TcIL3000.A.H_001019900.1  hypothetical protein, conserved
 8.00                 0.84                0.89	 9.33                 0.75                1.93	 9.33                 0.89                1.47	TcIL3000.A.H_001020000.1  RNA-binding protein, putative
 7.33                 0.71                1.33	 4.67                 0.94                1.26	 5.00                 0.70                2.13	TcIL3000.A.H_001020100.1  hypothetical protein, conserved
25.00                 1.14                0.77	31.33                 0.97                1.24	27.00                 1.14                2.44	TcIL3000.A.H_001020200.1  hypothetical protein, conserved
 4.33                 1.46                1.10	 6.00                 0.70                1.00	 5.33                 0.72                1.00	TcIL3000.A.H_001020300.1  hypothetical protein, conserved
 9.67                 0.54                0.70	 8.67                 1.08                0.87	 7.00                 0.81                1.82	TcIL3000.A.H_001020400.1  synaptobrevin, putative
 2.00                 1.20                0.56	 4.67                 0.92                0.42	 2.33                 1.00                1.14	TcIL3000.A.H_001020500.1  hypothetical protein, conserved
26.67                 0.90                1.49	19.00                 0.81                1.04	24.67                 0.71                2.11	TcIL3000.A.H_001020600.1  COP9 signalosome, subunit CSN8, putative
 9.33                 1.55                1.63	13.33                 0.91                0.93	11.00                 0.66                1.55	TcIL3000.A.H_001020700.1  U5 small nuclear ribonucleoprotein component, putative
 6.33                 0.53                1.23	 3.67                 0.72                0.94	 7.33                 0.45                2.11	TcIL3000.A.H_001020800.1  NADH-ubiquinone oxidoreductase complex I subunit, putative
 5.67                 1.71                0.59	 9.33                 0.61                1.48	 6.67                 0.78                1.61	TcIL3000.A.H_001020900.1  ATP-dependent DEAD/H RNA helicase, putative
 5.33                 0.95                0.43	 7.33                 0.67                2.22	11.00                 0.81                0.95	TcIL3000.A.H_001021000.1  methionyl-tRNA formyltransferase
12.33                 0.75                0.47	12.33                 1.42                1.19	13.33                 0.86                1.19	TcIL3000.A.H_001021100.1  heat shock protein Hsp20, putative
 7.00                 1.19                0.94	 7.67                 1.21                2.15	 6.00                 0.76                1.63	TcIL3000.A.H_001021200.1  hypothetical protein
 7.33                 1.28                0.44	 7.33                 1.78                0.89	 9.67                 0.71                0.75	TcIL3000.A.H_001021300.1  Tb-291 membrane associated protein, putative
 5.33                 0.62                1.35	 6.00                 1.00                1.71	 5.00                 0.50                3.37	TcIL3000.A.H_001021400.1  hypothetical protein, conserved
 6.33                 1.50                1.55	 4.33                 1.18                0.77	 5.33                 1.20                2.08	TcIL3000.A.H_001021500.1  hypothetical protein, conserved
 6.33                 0.95                0.89	 7.33                 0.78                1.05	 4.00                 1.17                2.25	TcIL3000.A.H_001021600.1  hypothetical protein, conserved
 9.33                 0.88                0.93	 3.33                 0.78                0.68	 5.33                 0.73                1.86	TcIL3000.A.H_001021700.1  C-14 sterol reductase, putative
 2.67                 2.37                1.30	 2.33                 1.50                1.60	 4.00                 0.82                2.00	TcIL3000.A.H_001021800.1  hypothetical protein, conserved
 0.00                 0.50                0.56	 2.00                 0.83                0.58	 3.67                 1.86                1.00	TcIL3000.A.H_001021900.1  NADH-cytochrome b5 reductase, putative
10.00                 0.71                0.75	10.33                 0.83                0.93	11.67                 0.79                0.97	TcIL3000.A.H_001022000.1  Nucleoporin
 8.33                 1.03                1.31	 4.67                 1.19                1.19	 6.67                 1.03                1.62	TcIL3000.A.H_001022100.1  hypothetical protein, conserved
 7.00                 1.29                0.74	 4.33                 1.36                2.57	 8.00                 1.05                1.19	TcIL3000.A.H_001022200.1  hypothetical protein, conserved
 7.33                 1.17                0.87	 9.00                 1.06                0.93	11.33                 1.43                1.50	TcIL3000.A.H_001022300.1  Haloacid dehalogenase-like hydrolase, putative
 4.00                 1.00                0.74	 5.00                 0.72                2.00	 7.00                 1.23                1.59	TcIL3000.A.H_001022400.1  histone deacetylase 2
 8.00                 1.40                1.65	10.00                 1.19                1.38	 7.33                 1.43                2.81	TcIL3000.A.H_001022500.1  hypothetical protein, conserved
 7.33                 1.12                1.15	12.33                 1.33                1.20	 8.67                 0.86                2.17	TcIL3000.A.H_001022600.1  hypothetical protein, conserved
 8.00                 1.17                0.57	 2.33                 1.09                1.17	 7.00                 0.56                1.00	TcIL3000.A.H_001022700.1  NOL1/NOP2/sun family, putative
